tweet_id,date,username,tweets,hashtags,replies,retweets,likes
1195631041463148544,2019-11-16 11:13:48,@CRESIOcoin,Nuestro CEO @AlfredoSimonf con el equipo de @cryptoplaza_es. Gran evento! #crypto #bitcoin #blockchainpic.twitter.com/KkPK2g4VsD,#crypto #bitcoin #blockchain,2,1,15
1195653314064658432,2019-11-16 12:42:18,@pablo_lopez,Pensando en participar en @laBITconf quién me da un buen motivo para asistir ? #blockchain #bitcoin,#blockchain #bitcoin,7,3,5
1195668982885425154,2019-11-16 13:44:34,@McDonal22378595,#forex #bitcoin investor pic.twitter.com/yaQw2KCy3U,#forex #bitcoin,0,0,1
1195692161154588672,2019-11-16 15:16:40,@criptogaceta,Aprende a usar Faswet para potenciar tus transacciones con criptomonedas #Bitcoin #Criptomonedas https://criptogaceta.com/aprende/aprende-a-usar-faswet-para-potenciar-tus-transacciones-con-criptomonedas/ …pic.twitter.com/H4csiDo2ev,#Bitcoin #Criptomonedas,0,1,2
1195766903718993922,2019-11-16 20:13:40,@Brandon57202383,"Maquinas de minería de Bitcoin llegando hoy, para empezar a producir  #bitcoin #criptomoneda #mineriadebitcoin #NETWORKMARKETING #blockchain #Industry40pic.twitter.com/oHCSZSh2rT",#bitcoin #criptomoneda #mineriadebitcoin #NETWORKMARKETING #blockchain #Industry40,1,0,0
1195662466631524352,2019-11-16 13:18:41,@enramos,"""La palabra de Satoshi"" https://elbitcoin.org/la-palabra-de-satoshi/ … #bitcoin",#bitcoin,0,0,0
1107685301168803840,2019-11-16 11:36:00,@Grafikitas80,#BITCOIN creo que no pinta muy bien la cosa... pic.twitter.com/Mme5d8kCp6,#BITCOIN,1,0,4
1195732520836333568,2019-11-16 17:57:03,@EsCointelegraph,#Bitcoin es superior a #PayPal en transacciones y tiene más volumen promedio que #Visahttps://es.cointelegraph.com/news/the-average-volume-of-bitcoin-transactions-exceeds-462-times-the-volume-of-visa …,#Bitcoin #PayPal #Visa,0,15,31
1195739547142967322,2019-11-16 18:24:58,@gerardoetaboada,"LTA @PayPal, #bitcoin superando en el volumen total de pagos y transacciones, triplicando los números del procesador electrónico, con un total de casi 4,000 mil millones de dólares. pic.twitter.com/CU1BKgsoc3",#bitcoin,1,0,0
1195741685462044675,2019-11-16 18:33:28,@PetroDivisa,"El #Bitcoin rompe el pronóstico del cruce de la MME de 20 y 50, aplicando el indicador #Fibonacci podemos determinar que si rompe el punto 0.61 podría caer a US$8.200/US$8.000, revirtiendo totalmente la tendencia a la baja, por ahora #BTC se ubica en US$8.400 con +0,2.pic.twitter.com/rcGis2UyAf",#Bitcoin #Fibonacci #BTC,2,4,4
1196035313057046530,2019-11-17 14:00:14,@BTClovera,"Debemos entender que PoW SIEMPRE será más seguro y descentralizado que PoS.   Con PoW yo participo en la mineria de $ETC y $BTC, obtengo ganancias, y mantengo la red segura!!  #Bitcoin y #ETC dos cadenas inmutables con consenso PoW  Lee más aquí https://link.medium.com/Omkl39CKG1 ",#Bitcoin #ETC,0,0,0
1196030526383099904,2019-11-17 13:41:13,@bitcuners,"#Bitcuners Desde casas, hoteles, playas y hasta una isla: 127 propiedades se venden con Bitcoin en Latinoamérica https://ift.tt/2pupJaK  #Bitcoin",#Bitcuners #Bitcoin,0,0,0
1196025475555971072,2019-11-17 13:21:09,@jexpotz,Descargar el mejor contenido Ahora! https://goo.gl/PPrxRK  ##jexpotz #bitcoin,#jexpotz #bitcoin,0,0,0
1196020174937370624,2019-11-17 13:00:05,@betbtc,El Palmar CF Estrella Grana vs EDMF Churra. #bitcoin #betting - https://www.betbtc.co/fixtures/el-palmar-cf-estrella-grana-vs-edmf-churra-1331170 …,#bitcoin #betting,0,0,1
